product_id,product_name,category,price,quantity,rating,purchase_date,customer_name
P135,Tablet,Accessories,122.21,-3,4.8,15/07/2020,
P137,Tablet,,$455.59,15,3.7,2020-06-22,Charlie
P138,Headphones,electronics,805.13,3,,2020-09-03,alice
P139,Camera,Gadgets,46.69,2,,24/01/2021,alice
P140,Phone,electronics,unknown,2,3.4,2021-03-05,
P141,Tablet,,12.99,16,4.1,02/04/2020,Bob
,Camera,Gadgets,798.01,10,3.9,04/09/2020,
P143,Phone,Gadgets,166.15,8,4.4,2020-08-01,
,Phone,Electronics,906.75,15,4.4,2021-02-19,Alice
P147,Headphones,electronics,155.32,-4,,22/07/2022,alice
,Phone,Accessories,$538.32,-5,4.1,2020-10-04,Alice
P150,Tablet,electronics,$372.89,9,,09/03/2020,alice
P151,Monitor,electronics,939.5,-5,2.2,06/05/2022,
P157,Laptop,Electronics,170.32,-5,2.5,25/03/2022,
P158,Monitor,,887.63,15,4.4,2022-06-07,
P163,Headphones,,unknown,1,1.2,16/04/2020,alice
P164,Mouse,,61.12,0,3.0,05/05/2022,David
P165,Phone,electronics,186.27,-3,,2022-06-15,David
P167,Headphones,electronics,311.17,11,,2022-08-23,alice
P170,Laptop,electronics,$973.06,9,4.3,2020-03-02,
P172,Mouse,Electronics,980.61,0,,28/04/2021,Charlie
P173,Keyboard,Accessories,589.43,-2,2.8,2021-01-20,
P176,Monitor,Gadgets,639.16,15,2.0,2021-03-25,
P177,Headphones,Accessories,133.57,15,,17/09/2022,
P182,Phone,electronics,15.19,-1,2.3,2020-08-26,
P183,Monitor,,$626.36,0,,20/02/2020,Charlie
P186,Headphones,electronics,$749.85,13,,2022-02-04,Bob
P187,Keyboard,,433.46,9,,2020-05-17,alice
P188,Camera,,221.56,18,4.9,2020-07-06,Alice
P189,Headphones,Accessories,747.03,-5,,2021-10-03,alice
P193,Tablet,,$605.79,18,3.8,11/04/2021,
P195,Laptop,electronics,621.72,4,,2021-10-20,alice
,Mouse,Gadgets,756.76,18,,2021-07-14,Charlie
P182,Phone,electronics,15.19,-1,2.3,2020-08-26,
,Mouse,Gadgets,756.76,18,,2021-07-14,Charlie
P193,Tablet,,$605.79,18,3.8,11/04/2021,
P10,Headphones,Accessories,417.67,-2,3.8,12/05/2021,
